Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
SWRBF,SWIRE PACIFIC LTD B ORD,Pink Limited,1.450000,,0,Foreign Ordinary Shares,China,
SWRBY,SWIRE PACIFIC LTD B S/ADR,Pink Limited,7.966000,,0,ADRs,China,
SPRS,SURGE COMPONENTS INC,Pink Limited,3.170000,-0.045181,500,Common Stock,USA,New York
SCIA,SCI ENGINEERED MTRLS INC,OTCQB,5.800000,0.006944,1615,Common Stock,USA,Ohio
FORW,FORWARDLY INC,OTCID,0.002945,-0.001695,5050,Common Stock,USA,Nevada
SUHJF,SUN HUNG KAI PPTYS ORD,OTCID,15.020000,0.065399,1253,Foreign Ordinary Shares,Hong Kong,
SUHJY,SUN HUNG KAI PY LTD S/ADR,OTCID,15.910000,-0.002820,54058,ADRs,Hong Kong,
STBI,STURGIS BANCORP INC,OTCQX,21.300000,,0,Common Stock,USA,Michigan
STQN,STRATEGIC ACQUIS INC NEV,OTCID,0.060990,,0,Common Stock,USA,New Jersey
LODFF,LODE GOLD RESOURCES INC,OTCQB,0.439200,-0.066009,130463,Foreign Ordinary Shares,Canada,British Columbia
SOIEF,STOLT-NIELSEN LTD ORD,Pink Limited,31.350000,-0.105563,1650,Foreign Ordinary Shares,United Kingdom,
ACGYF,SUBSEA 7 SA ORD,Pink Limited,25.300000,,0,Foreign Ordinary Shares,United Kingdom,England
SUBCY,SUBSEA 7 S.A. S/ADR,Pink Limited,25.720000,0.019664,12015,ADRs,United Kingdom,England
SPCOQ,STEPHAN CO,OTCID,0.140000,,0,Common Stock,USA,Pennsylvania
STLY,HG HOLDINGS INC,OTCQB,4.560000,,18,Common Stock,USA,Florida
TMRC,TEXAS MINERAL RESOURCES,OTCQB,1.080000,-0.100000,1037405,Common Stock,USA,Texas
SPND,SPINDLETOP OIL&GAS CO,Pink Limited,4.000000,,2,Common Stock,USA,Texas
EDTXF,SPECTRAL MEDICAL INC ORD,Pink Limited,0.950000,-0.002038,2100,Foreign Ordinary Shares,Canada,Ontario
SRLY,STHN REALTY CO CAL,Pink Limited,15.000000,,0,Common Stock,USA,California
SOMC,STHN MICH BANCORP INC,OTCID,24.880000,-0.000803,2429,Common Stock,USA,Michigan
SOCGM,STHN CAL GAS 6 PR,OTCQB,24.920000,,0,Preferred Stock,USA,California
SOCGP,STHN CAL GAS 6 A PR,OTCQB,24.843200,-0.000575,620,Preferred Stock,USA,California
GRWWF,GREAT WALL PAN ASIA ORD,Pink Limited,0.040000,,0,Foreign Ordinary Shares,Hong Kong,
SNEJF,SONY GROUP CORP,Pink Limited,23.428000,0.052523,27496,Foreign Ordinary Shares,USA,New York
SOBS,SOLVAY BANK SOLVAY NY,OTCID,28.250000,,54,Common Stock,USA,New York
SODI,SOLITRON DEVICES INC,Pink Limited,21.270000,0.012857,231,Common Stock,USA,Florida
PVSP,PERVASIP CORP NEW,OTCID,0.000200,0.333333,396256302,Common Stock,USA,Washington
SILS,SILVER SCOTT MINES INC,OTCID,0.058000,0.054545,11000,Common Stock,USA,Florida
SBUM,SILVER BUCKLE MINES,Pink Limited,0.060000,-0.454545,5256,Common Stock,USA,Idaho
SKAS,SAKER AVIATION SVCS,OTCID,6.850000,,0,Common Stock,USA,New York
SIEGY,SIEMENS AG SPONS ADR,Pink Limited,154.130000,0.024324,259358,ADRs,Germany,
SMAWF,SIEMENS AG ORD,Pink Limited,303.140000,0.027384,1895,Foreign Ordinary Shares,Germany,
SDRC,SIDNEY RESOURCES CORP,OTCID,0.397500,0.102635,427508,Common Stock,USA,Idaho
SHTGF,SHUN TAK HLDGS LTD,Pink Limited,0.085000,,0,Foreign Ordinary Shares,China,
SSDOF,SHISEIDO CO LTD ORD,Pink Limited,17.150000,,0,Foreign Ordinary Shares,Japan,
SSDOY,SHISEIDO CO LTD S/ADR,Pink Limited,16.650000,-0.003591,37688,ADRs,Japan,
SPTJF,SINOPEC SHANGHAI PETRCHEM,Pink Limited,0.193000,0.029608,114600,Foreign Ordinary Shares,China,
APHP,AMERICAN PICTURE HOUSE CP,OTCQB,0.081000,,0,Common Stock,USA,New York
PRBG,PRIME BEING CORPORATION,OTCID,0.017500,,0,Common Stock,USA,Nevada
SENEL,SENECA FOODS CORP PFD,Pink Limited,27.500000,,0,Preferred Stock,USA,New York
SENEM,SENECA FOODS CORP 12 PFD,Pink Limited,113.010000,,0,Preferred Stock,USA,New York
SETO,SETO HOLDINGS INC,OTCID,0.027000,-0.018182,15000,Common Stock,USA,Maryland
GKOR,GOLKOR INC,Pink Limited,1.490000,0.960526,108,Common Stock,USA,Florida
SKHSF,SEKISUI HOUSE LTD,OTCID,23.290000,,194,Foreign Ordinary Shares,Japan,
SKHSY,SEKISUI HOUSE LTD S/ADR,OTCID,22.860000,-0.000087,33801,ADRs,Japan,
SOMLF,SECOM CO LTD,Pink Limited,33.350000,,0,Foreign Ordinary Shares,Japan,
SOMLY,SECOM CO LTD UNSP/ADR,Pink Limited,9.290000,0.004324,266272,ADRs,Japan,
HKHC,HORIZON KINETICS HOLDING,OTCQX,28.000000,0.027523,6903,Common Stock,USA,New York
SASOF,SASOL LTD ORD,Pink Limited,6.745000,,0,Foreign Ordinary Shares,USA,New York
SSLZY,SANTOS LTD SP/ADR,Pink Limited,4.870000,0.008282,87394,ADRs,Australia,South Australia
STOSF,SANTOS LTD REG,Pink Limited,5.250000,,39,Foreign Ordinary Shares,Australia,South Australia
SDVKF,SANDVIK AB,Pink Limited,40.115900,0.068333,378,Foreign Ordinary Shares,Sweden,
SDVKY,SANDVIK AB S/ADR,Pink Limited,40.669000,0.034045,32021,ADRs,Sweden,
SMGBF,SAN MIGUEL CORP ORD,Pink Limited,1.400000,,0,Foreign Ordinary Shares,Philippines,
AASP,AGASSI SPORTS ENTERTMT,OTCID,5.150000,-0.019048,618,Common Stock,USA,Nevada
SFES,SAFEGUARD SCIENTIFICS INC,Pink Limited,0.755100,0.000000,349,Common Stock,USA,Pennsylvania
TIAIY,TELECOM ITALIA SVG ADR,Pink Limited,8.310000,,50,ADRs,Italy,
TIAJF,TELECOM ITALIA S.P.A. AZ,Pink Limited,0.666000,,0,Foreign Ordinary Shares,Italy,
TIAOF,TELECOM ITALIA SPA ORD,Pink Limited,0.590200,,0,Foreign Ordinary Shares,Italy,
TIIAY,TELECOM ITALIA S/ADR,Pink Limited,6.770000,-0.031474,12692,ADRs,Italy,
PVCT,PROVECTUS BIOPHARMS,OTCQB,0.053800,-0.012119,53866,Common Stock,USA,Tennessee
SKFRY,SKF AB S/ADR,Pink Limited,28.810000,-0.002355,6759,ADRs,Sweden,
PGNT,PARAGON TECHS INC,OTCID,4.900000,-0.010101,600,Common Stock,USA,Pennsylvania
NMGX,NANO MAGIC INC,OTCID,0.234738,,2,Common Stock,USA,Michigan
STMEF,STMICROELECTRONICS,Pink Limited,28.500000,-0.035402,200220,Foreign Ordinary Shares,The Netherlands,
SDAD,S H RESOURCES&DEVEL CORP,Pink Limited,0.094500,,0,Common Stock,USA,California
ROYL,ROYALE ENERGY INC,OTCQB,0.037100,,0,Common Stock,USA,California
RBSPF,NATWEST GROUP PLC,Pink Limited,9.185000,0.010451,13747,Foreign Ordinary Shares,United Kingdom,Scotland
RYLBF,ROYAL BK CDA 1ST PFD BO,Pink Limited,18.638700,,0,Preferred Stock,Canada,Ontario
RLLCF,ROLLS ROYCE HLDG PREF C,Pink Limited,0.002700,,1,Preferred Stock,United Kingdom,
RYCEF,ROLLS ROYCE HLDG PLC ORD,Pink Limited,16.878000,-0.004248,40596,Foreign Ordinary Shares,United Kingdom,
RYCEY,ROLLS ROYCE HLDGS S/ADR,Pink Limited,16.920000,0.004154,4264002,ADRs,United Kingdom,
RCIAF,ROGERS COMMUN INC A,Pink Limited,37.840000,0.027982,300,Foreign Ordinary Shares,Canada,Ontario
RHHBF,ROCHE HOLDING LTD ORD,OTCQX,440.000000,-0.016760,3,Foreign Ordinary Shares,Switzerland,
RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX,57.020000,0.048354,5170693,ADRs,Switzerland,
RHHVF,ROCHE HOLDING DIV RTS,OTCQX,468.614000,0.105222,121704,Rights,Switzerland,
RSKIA,RISK (GEORGE) INDUS INC A,Pink Limited,18.000000,0.022147,4741,Common Stock,USA,Nebraska
RICOF,RICOH CO LTD,Pink Limited,8.590000,,0,Foreign Ordinary Shares,Japan,
RICOY,RICOH CO LTD SPN ADR,Pink Limited,8.935000,,0,ADRs,Japan,
FUKUF,FUKUDA CORP,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
GMALF,GENTING MALAYSIA BHD ORD,OTCID,0.552800,,0,Foreign Ordinary Shares,Malaysia,
GMALY,GENTING MALAYSIA S/ADR,OTCID,14.050000,,0,ADRs,Malaysia,
RSRV,RESERVE PETROLEUM CO,OTCID,192.100000,0.000000,21,Common Stock,USA,Oklahoma
REPYF,REPSOL YPF SA ORD,OTCQX,18.380000,,0,Foreign Ordinary Shares,Spain,
REPYY,REPSOL SA SP/ADR,OTCQX,19.370000,0.016264,85681,ADRs,Spain,
REOP,REO PLASTICS INC,OTCID,58.290000,,0,Common Stock,USA,Minnesota
RKLIF,RENTOKIL INITIAL 2005 ORD,Pink Limited,6.060000,,0,Foreign Ordinary Shares,United Kingdom,England
RELV,RELIV INTL INC,OTCID,2.250000,,0,Common Stock,USA,Missouri
RLBY,RELIABILITY INC,OTCID,0.038140,-0.051244,60000,Common Stock,USA,Maryland
RAFI,REGENCY AFFILIATES INC,OTCID,4.580000,,0,Common Stock,USA,New York
PIAC,PRINCETON CAPITAL CORP,Pink Limited,0.060000,,0,Common Stock,USA,Massachusetts
REGRF,NEW WORLD SOLUTIONS INC,Pink Limited,0.003900,,0,Foreign Ordinary Shares,Canada,Ontario
RLXXF,RELX PLC ORD,Pink Limited,36.200000,-0.025572,5952,Foreign Ordinary Shares,United Kingdom,
GOGY,GOLDEN GRAIL TECH CORP,OTCID,0.031450,0.000000,5100,Common Stock,USA,Florida
RWEOY,RWE AG ORD S/ADR,Pink Limited,64.290000,0.014038,61876,ADRs,Germany,
RWNFF,RWE AG NEW ESSEN,Pink Limited,63.284000,-0.010569,2250,Foreign Ordinary Shares,Germany,
RTPPF,RIO TINTO PLC ORD,Pink Limited,92.910000,0.018471,2945,Foreign Ordinary Shares,United Kingdom,
TSPG,TGI SOLAR POWER GROUP INC,Pink Limited,0.002450,0.042553,60022,Common Stock,USA,Florida
RCBC,RIVER CITY BANK CALIF,OTCID,43.000000,,0,Common Stock,USA,California
PRPH,PROPHASE LABS INC,OTCID,0.170000,0.061174,115675,Common Stock,USA,New York
QUCT,QUEEN CITY INVESTMENT INC,Pink Limited,2070.000000,,0,Common Stock,USA,California
QBCAF,QUEBECOR INC A,Pink Limited,37.210000,,0,Foreign Ordinary Shares,Canada,Quebec
QBCRF,QUEBECOR INC B,Pink Limited,36.570000,0.009106,100,Foreign Ordinary Shares,Canada,Quebec
QZMRF,QUARTZ MOUNTAIN RES,OTCQX,0.650000,-0.044118,45226,Foreign Ordinary Shares,Canada,British Columbia
EVIO,EVIO INC,OTCID,0.000001,0.000000,440100,Common Stock,USA,Nevada
VAPR,VAPORBRANDS INTL INC,OTCID,0.011050,-0.063559,107969,Common Stock,USA,Washington
QNBC,Q N B CORP,OTCQX,38.040000,0.014941,302,Common Stock,USA,Pennsylvania
PMDI,PSYCHEMEDICS CORP NEW,Pink Limited,1.800000,,0,Common Stock,USA,Texas
SSHT,SSHT S&T GROUP LTD,OTCID,0.007800,-0.025000,10000,Common Stock,New Zealand,
PCYN,PROCYON CORP,Pink Limited,0.125000,,0,Common Stock,USA,Florida
DSUS,DRONE SERVICES USA INC,Pink Limited,0.000001,,0,Common Stock,USA,Pennsylvania
PWCCF,POWER CP CDA PFD B 5.35%,Pink Limited,0.000000,,0,Preferred Stock,Canada,Quebec
PWCDF,POWER CORP CANADA,Pink Limited,50.960000,-0.002740,26030,Foreign Ordinary Shares,Canada,Quebec
POSC,POSITRON CORP,OTCID,1.890000,0.110132,25240,Common Stock,USA,New York
PRSI,PORTSMOUTH SQUARE INC,Pink Limited,7.190000,,0,Common Stock,USA,California
PONT,PONTIAC BANCORP INC,OTCID,605.000000,0.100000,1,Common Stock,USA,Illinois
SKTP,SKYTOP LODGE CORP,Pink Limited,1761.000000,,0,Common Stock,USA,Pennsylvania
SKTPP,SKYTOP LODGE CORP 7 PFD,Pink Limited,260.000000,,0,Preferred Stock,USA,Pennsylvania
VMHG,VICTORY MARINE HLDGS CORP,OTCID,0.000900,-0.100000,1166,Common Stock,USA,Florida
POGS,PIONEER OIL & GAS,Pink Limited,0.078200,-0.305938,10000,Common Stock,USA,Utah
IDEA,INVENT VENTURES INC NEW,OTCID,0.017000,,3,Common Stock,USA,Florida
RYLPF,ROYAL PHILLIPS NV ORD,Pink Limited,29.160000,,90,Foreign Ordinary Shares,The Netherlands,
PHTCF,PLDT INC ORD,Pink Limited,20.520000,,0,Foreign Ordinary Shares,Philippines,
PXMFF,PHILEX MINING CORP ORD,Pink Limited,0.189450,,0,Foreign Ordinary Shares,Philippines,
QPRC,QUEST PATENT RESEARCH CP,OTCQB,0.130100,,0,Common Stock,USA,New York
PTITF,PT INDOSAT TBK ORD,Pink Limited,0.114800,,0,Foreign Ordinary Shares,Indonesia,
PDRDF,PERNOD RICARD ORD,Pink Limited,88.894200,0.018028,164503,Foreign Ordinary Shares,France,
PRNDY,PERNOD RICARD S A SP/ADR,Pink Limited,17.830000,-0.001680,1383058,ADRs,France,
PPLL,PEOPLES LTD,OTCID,59.000000,,0,Common Stock,USA,Pennsylvania
PKIN,PEKIN LIFE INS CO CAP,OTCID,11.750000,0.000000,2928,Common Stock,USA,Illinois
CPMV,MOSAIC IMMUNOENGINEERING,Pink Limited,0.602000,,24,Common Stock,USA,California
CHYL,CHINA SENIOR LIV IND INT,OTCID,0.177500,,0,Common Stock,China,
PRKR,PARKERVISION INC,OTCQB,0.233125,0.059659,23605,Common Stock,USA,Florida
PDER,PARDEE RESOURCES CO INC,Pink Limited,300.000000,0.013514,704,Common Stock,USA,Pennsylvania
MPIR,EMPIRE DIVERSIFIED ENGY,OTCID,0.018200,,0,Common Stock,USA,West Virginia
ANSLF,ANSELL LTD ORD SHS,Pink Limited,22.740000,,0,Foreign Ordinary Shares,Australia,
ANSLY,ANSELL LTD S/ADR,Pink Limited,88.440000,,0,ADRs,Australia,
PTCAY,PT CHANDRA ASRI U/ADR,Pink Limited,56.000000,,0,ADRs,Indonesia,
PTPIF,PT CHANDRA ASRI PACIFIC,Pink Limited,0.526700,,0,Foreign Ordinary Shares,Indonesia,
RDGA,RIDGEFIELD ACQUISTON CORP,Pink Limited,0.015000,,0,Common Stock,USA,Nevada
OTLC,ONCOTELIC THERAPEUTCS INC,OTCQB,0.071900,-0.092172,109014,Common Stock,USA,California
OXBC,OXFORD BANK CORP,OTCID,41.750000,0.010896,100,Common Stock,USA,Michigan
SNTL,SENTINEL HOLDINGS LTD,OTCQB,5.870000,,0,Common Stock,USA,Utah
OBTEF,ORBITAL CORP ORD,Pink Limited,0.001200,,0,Foreign Ordinary Shares,Australia,Western Australia
ORBT,ORBIT INTL CORP,OTCID,5.400000,,0,Common Stock,USA,New York
GRPS,GOLD RIVER PRODS INC,OTCID,0.000300,-0.250000,2021504,Common Stock,USA,Texas
OCPNF,OLYMPUS CORP ORD,Pink Limited,12.060000,,0,Foreign Ordinary Shares,Japan,
OLYMY,OLYMPUS CORP U/ADR,Pink Limited,11.920000,0.008460,71955,ADRs,Japan,
AFNL,AMFIN FINANCIAL CORP,Pink Limited,183.020000,,0,Common Stock,USA,Ohio
EGYF,ENERGY FINDERS INC,Pink Limited,0.003500,0.060606,321,Common Stock,USA,Maryland
SPOM,SPO GLOBAL INC,OTCID,0.000600,0.000000,991774,Common Stock,USA,Florida
NONOF,NOVO NORDISK A/S B NEW,Pink Limited,60.010000,0.021099,28946,Foreign Ordinary Shares,USA,New York
GRST,ETHEMA HEALTH CORPORATION,OTCID,0.000400,0.000000,476150,Common Stock,USA,Florida
